2026-06-11 17:53:40 | train | INFO | RAPIDS cuML is available. GPU acceleration will be used for modeling.
2026-06-11 17:53:40 | train | INFO | XGBoost is available.
2026-06-11 17:53:40 | train | INFO | Loading preprocessed Train/Val/Test splits from cache...
2026-06-11 17:53:41 | timer | INFO | Function 'load_and_split_data' completed in 0.5330 seconds
2026-06-11 17:54:07 | train | INFO | Loading preprocessed Train/Val/Test splits from cache...
2026-06-11 17:54:08 | timer | INFO | Function 'load_and_split_data' completed in 0.5034 seconds
2026-06-11 17:54:19 | train | INFO | Loading preprocessed Train/Val/Test splits from cache...
2026-06-11 17:54:19 | timer | INFO | Function 'load_and_split_data' completed in 0.4673 seconds
2026-06-11 18:09:23 | train | INFO | Training baseline model: naive_bayes...
2026-06-11 18:11:20 | train | INFO | Training baseline model: naive_bayes...
2026-06-11 18:11:49 | train | INFO | Training baseline model: naive_bayes...
2026-06-11 18:12:39 | train | INFO | Training baseline model: naive_bayes...
2026-06-11 18:12:46 | train | INFO | Training baseline model: naive_bayes...
2026-06-11 18:19:34 | train | INFO | Running custom Grid Search for 'logistic_regression' over 3 combinations...
2026-06-11 18:19:35 | train | INFO | Fitting final best logistic_regression model on all training data with parameters {'C': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'qn'}...
2026-06-11 18:19:35 | timer | INFO | Function 'run_grid_search' completed in 0.7660 seconds
2026-06-11 18:19:35 | train | INFO | Running custom Grid Search for 'svm' over 6 combinations...
2026-06-11 18:25:18 | train | INFO | Fitting final best svm model on all training data with parameters {'C': 1.0, 'kernel': 'linear'}...
2026-06-11 18:26:55 | timer | INFO | Function 'run_grid_search' completed in 440.0784 seconds
2026-06-11 18:27:06 | train | INFO | Running custom Grid Search for 'xgboost' over 8 combinations...
2026-06-11 18:28:20 | train | INFO | Fitting final best xgboost model on all training data with parameters {'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}...
2026-06-11 18:28:21 | timer | INFO | Function 'run_grid_search' completed in 75.6547 seconds
2026-06-11 20:56:29 | train | INFO | RAPIDS cuML is available. GPU acceleration will be used for modeling.
2026-06-11 20:56:29 | train | INFO | XGBoost is available.
2026-06-11 20:56:29 | train | INFO | Loading preprocessed Train/Val/Test splits from cache...
2026-06-11 20:56:30 | timer | INFO | Function 'load_and_split_data' completed in 0.6420 seconds
2026-06-11 20:56:33 | train | INFO | Training baseline model: naive_bayes...
2026-06-11 20:56:35 | train | INFO | Running custom Grid Search for 'logistic_regression' over 3 combinations...
2026-06-11 20:56:36 | train | INFO | Fitting final best logistic_regression model on all training data with parameters {'C': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'qn'}...
2026-06-11 20:56:36 | timer | INFO | Function 'run_grid_search' completed in 0.9936 seconds
2026-06-11 20:56:36 | train | INFO | Running custom Grid Search for 'svm' over 6 combinations...
2026-06-11 21:00:17 | train | INFO | Fitting final best svm model on all training data with parameters {'C': 1.0, 'kernel': 'linear'}...
2026-06-11 21:01:22 | timer | INFO | Function 'run_grid_search' completed in 286.7922 seconds
2026-06-11 21:01:30 | train | INFO | Running custom Grid Search for 'xgboost' over 8 combinations...
2026-06-11 21:02:24 | train | INFO | Fitting final best xgboost model on all training data with parameters {'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}...
2026-06-11 21:02:25 | timer | INFO | Function 'run_grid_search' completed in 55.5692 seconds
2026-06-11 21:03:34 | train | INFO | Saving best champion model to /home/ikartiksavaliya/Desktop/Portfolio projects/nlp/models/best_model.joblib...
2026-06-11 21:03:34 | train | INFO | Saving vectorizer to /home/ikartiksavaliya/Desktop/Portfolio projects/nlp/models/vectorizer.joblib...
2026-06-11 21:03:34 | train | INFO | Saving label encoder to /home/ikartiksavaliya/Desktop/Portfolio projects/nlp/models/label_encoder.joblib...
2026-06-11 21:03:34 | train | INFO | Model artifacts saved successfully.
2026-06-11 21:03:55 | train | INFO | Saving best champion model to /home/ikartiksavaliya/Desktop/Portfolio projects/nlp/models/best_model.joblib...
2026-06-11 21:03:55 | train | INFO | Saving vectorizer to /home/ikartiksavaliya/Desktop/Portfolio projects/nlp/models/vectorizer.joblib...
2026-06-11 21:03:55 | train | INFO | Saving label encoder to /home/ikartiksavaliya/Desktop/Portfolio projects/nlp/models/label_encoder.joblib...
2026-06-11 21:03:55 | train | INFO | Model artifacts saved successfully.
