,precision,recall,f1-score,support
Account Suspension,0.10914051841746249,0.10738255033557047,0.10825439783491204,745.0
Bug Report,0.10349462365591398,0.205607476635514,0.13768439874832364,749.0
Data Sync Issue,0.0,0.0,0.0,746.0
Feature Request,0.0993103448275862,0.09523809523809523,0.09723160027008777,756.0
Login Issue,0.11155913978494623,0.11066666666666666,0.1111111111111111,750.0
Payment Problem,0.08833010960670536,0.18266666666666667,0.1190786614515428,750.0
Performance Issue,0.08441558441558442,0.08632138114209828,0.08535784635587657,753.0
Refund Request,0.09779614325068871,0.09517426273458444,0.09646739130434782,746.0
Security Concern,0.0,0.0,0.0,752.0
Subscription Cancellation,0.11140235910878113,0.11288180610889774,0.11213720316622691,753.0
accuracy,0.0996,0.0996,0.0996,0.0996
macro avg,0.08054488230676686,0.09959389055280934,0.08673226102424288,7500.0
weighted avg,0.08056394018820587,0.0996,0.08674706753051575,7500.0
